id;nama;deskripsi;jumlah;rarity
9;mangsut?;ini berguna;1014;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
10;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
9;mangsut?;ini berguna;4;C
